"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","should delete booking","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","31","should fail to create token with invalid credentials","","2026-01-11","passed","2026-01-11","Auth API Tests","auth.spec.ts","",""
"","27","should return 404 for non-existent booking","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","31","should create a new booking successfully","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","55","should update booking completely","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","55","should partially update booking","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","50","should return 403 for deleting without authentication","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","175","should create auth token successfully with valid credentials","","2026-01-11","passed","2026-01-11","Auth API Tests","auth.spec.ts","",""
"","50","should return 403 for updating without authentication","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","29","should fail to create token with missing username","","2026-01-11","passed","2026-01-11","Auth API Tests","auth.spec.ts","",""
"","28","should check API health with ping","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","73","should get all bookings","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
"","53","should get booking by ID","","2026-01-11","passed","2026-01-11","Booking API Tests","booking.spec.ts","",""
